Player,Team
Hanabi,PSG
Canna,T1
Xiaohu,RNG
Khan,DK
Ssumday,100T
Flandre,EDG
Fudge,C9
Rascal,GENG
Ale,LNG
Morgan,HLE
Alphari,TL
Armut,MAD
Odoamne,RGE
Adam,FNC
Nuguri,FPX
Burdol,GENG
Evi,DFM
