Player,Team
Meiko,EDG
BeryL,DK
Life,GENG
Keria,T1
Ming,RNG
Kaiser,MAD
Vulcan,C9
Vsta,HLE
Trymbi,RGE
CoreJJ,TL
Crisp,FPX
Iwandy,LNG
Huhi,100T
Hylissang,FNC
Kaiwing,PSG
Gaeng,DFM
