Player,Team
Jiejie,EDG
Canyon,DK
Clid,GENG
Oner,T1
Wei,RNG
Elyoya,MAD
Blaber,C9
Willer,HLE
Inspired,RGE
Santorin,TL
Tian,FPX
Tarzan,LNG
Steal,DFM
Bwipo,FNC
River,PSG
Closer,100T
