Player,Team
Scout,EDG
ShowMaker,DK
Bdd,GENG
Faker,T1
Cryin,RNG
Humanoid,MAD
Perkz,C9
Chovy,HLE
Larssen,RGE
Jensen,TL
Doinb,FPX
icon,LNG
Maple,PSG
Abbedagge,100T
Nisqy,FNC
Aria,DFM
